"","msci_us_value","snp_us_value","msci_us_quality","snp_us_quality","msci_us_volatility","snp_us_volatility","msci_us_momentum","snp_us_momentum"
"2000/03/31",0.104778,0.104272,0.086513,0.06817,0.095291,0.093535,0.092997,0.091251
"2000/04/30",0.002616,-0.006687,-0.030761,0.010674,-0.007213,0.047347,-0.052392,-0.046223
"2000/05/31",0.00261,0.00312,-0.023379,0.017421,-0.009347,0.049105,-0.061583,-0.074923
"2000/06/30",-0.025349,-0.039505,0.065274,0.062333,-0.006421,-0.04176,0.060135,0.077501
"2000/07/31",0.008518,0.020009,-0.0329,-0.030942,-0.010852,0.01363,-0.01738,-0.002677
"2000/08/31",0.050828,0.067053,0.03972,0.037777,0.051974,0.074545,0.081242,0.105715
"2000/09/30",-0.005552,-0.000244,-0.052638,-0.008154,-0.004008,0.031585,-0.092716,-0.108635
"2000/10/31",0.014803,0.018679,0.019084,0.047647,0.013702,0.023516,-0.045078,-0.06475
"2000/11/30",-0.058701,-0.051182,-0.059063,-0.005626,-0.032015,0.017028,-0.041181,-0.155198
"2000/12/31",0.04141,0.051455,-0.024963,0.023662,0.032855,0.075324,0.032474,-0.032982
"2001/01/31",0.018777,0.04222,0.028363,-0.008637,-0.01359,-0.043133,-0.039908,0.045577
"2001/02/28",-0.049413,-0.066282,-0.095601,-0.03987,-0.032829,0.028778,-0.081021,-0.213839
"2001/03/31",-0.039617,-0.039466,-0.069961,-0.045032,-0.044959,-0.012489,-0.077028,-0.085752
"2001/04/30",0.065267,0.067836,0.067685,0.049413,0.054985,0.05244,0.07273,0.04255
"2001/05/31",0.01371,0.010461,0.005189,0.014657,0.019049,0.036247,0.00114,0.012541
"2001/06/30",-0.024185,-0.032386,-0.024299,-0.014323,-0.038684,-0.024725,-0.033874,-0.041383
"2001/07/31",-0.011721,-0.017292,0.015248,0.008427,0.007695,-0.003904,-0.002066,-0.017203
"2001/08/31",-0.060243,-0.057798,-0.0604,-0.041467,-0.034323,0.000537,-0.026192,-0.03002
"2001/09/30",-0.080639,-0.09499,-0.05647,-0.048488,-0.049712,-0.046035,-0.064543,-0.05089
"2001/10/31",-0.013837,-2e-06,0.02655,0.021098,-0.011682,-0.007894,-0.005945,-0.01811
"2001/11/30",0.059573,0.063465,0.07918,0.058032,0.055315,0.033957,0.065769,0.054213
"2001/12/31",0.009099,0.015215,0.002925,0.010785,0.014915,0.035005,0.017381,0.02886
"2002/01/31",-0.011376,-0.027441,0.008411,-0.010625,-0.008316,-0.002449,0.01277,0.018649
"2002/02/28",-0.033191,-0.008945,-0.014718,0.004354,0.012213,0.02635,0.0103,0.006234
